Hartman-Montegomery, Jane R.
Doe, J. D.
Emirhan, Bruh TALA.
Tilly-Mae, Keenan J.
Spencer, Hooper A.
Kristy, Legge   B.
Ada, Malone C.
Jordan-Lee, Head D.
Wesley, Hulme E.
Efe, Mathis F.
Mahir, Timms    G.
Brooklyn, Ayers H.
Kaleb, Herman I.
Henry, Stokes J.
Teagan, Lucero K.
Arfa, Mcdonald     Burgerking.
Rio, Higgs          Amogus.
Leila, Needham      Amogus.
Hattie, Peck        Amogus.
Marian, Rowland     Amogus.
Emerson, Blanchard  Amogus.
Kennedy, Jenkins    Amogus.
Filip, Goddard      Amogus.
